age,start_click,session_time,converted,ticket_price,shipping
37.0,0,11,0,0.0,0
36.0,0,4,0,0.0,0
30.0,1,16,0,0.0,0
35.0,1,16,1,75.5213127712792,22
41.0,0,8,0,0.0,0
23.0,1,14,0,0.0,0
35.0,1,6,0,0.0,0
40.0,1,10,0,0.0,0
45.0,1,12,1,91.2562303245983,11
38.0,1,8,0,0.0,0
38.0,0,12,0,0.0,0
34.0,0,11,0,0.0,0
39.0,1,8,1,119.4639545730307,17
30.0,1,7,0,0.0,0
38.0,1,11,0,0.0,0
30.0,1,7,0,0.0,0
39.0,1,11,0,0.0,0
32.0,1,14,0,0.0,0
33.0,1,8,0,0.0,0
27.0,0,14,0,0.0,0
35.0,0,7,0,0.0,0
40.0,0,7,0,0.0,0
28.0,0,8,0,0.0,0
38.0,0,12,0,0.0,0
38.0,1,7,0,0.0,0
36.0,0,5,0,0.0,0
39.0,0,7,0,0.0,0
35.0,0,9,0,0.0,0
36.0,0,5,0,0.0,0
39.0,0,7,0,0.0,0
32.0,1,14,0,0.0,0
38.0,1,5,1,105.61131612479801,19
34.0,1,11,0,0.0,0
34.0,0,6,0,0.0,0
41.0,0,8,0,0.0,0
40.0,1,9,1,88.25176880403623,23
35.0,1,13,0,0.0,0
33.0,0,9,0,0.0,0
36.0,1,8,0,0.0,0
41.0,0,10,0,0.0,0
29.0,0,5,0,0.0,0
25.0,0,9,0,0.0,0
29.0,0,7,0,0.0,0
30.0,1,7,0,0.0,0
27.0,1,14,0,0.0,0
31.0,0,9,0,0.0,0
34.0,1,12,0,0.0,0
36.0,1,7,0,0.0,0
34.0,0,3,0,0.0,0
40.0,1,8,0,0.0,0
37.0,1,11,0,0.0,0
48.0,1,6,1,123.22262009763715,27
35.0,1,16,0,0.0,0
36.0,0,4,0,0.0,0
33.0,0,4,0,0.0,0
37.0,0,7,0,0.0,0
30.0,1,8,0,0.0,0
23.0,0,7,0,0.0,0
41.0,0,11,0,0.0,0
35.0,1,14,1,141.63889709680433,18
40.0,1,8,0,0.0,0
30.0,0,7,0,0.0,0
36.0,1,7,0,0.0,0
47.0,0,7,0,0.0,0
37.0,1,8,0,0.0,0
43.0,1,11,0,0.0,0
28.0,1,8,0,0.0,0
36.0,0,6,0,0.0,0
31.0,1,9,0,0.0,0
43.0,0,7,0,0.0,0
41.0,1,11,0,0.0,0
37.0,1,10,0,0.0,0
27.0,1,8,0,0.0,0
25.0,1,10,0,0.0,0
34.0,1,10,0,0.0,0
31.0,0,7,0,0.0,0
37.0,1,7,0,0.0,0
43.0,0,14,0,0.0,0
36.0,0,5,0,0.0,0
40.0,1,17,0,0.0,0
32.0,1,11,1,77.85699775259343,18
35.0,0,7,0,0.0,0
29.0,1,9,0,0.0,0
30.0,0,4,0,0.0,0
32.0,1,12,0,0.0,0
27.0,1,15,0,0.0,0
43.0,0,4,0,0.0,0
34.0,1,13,0,0.0,0
27.0,1,7,0,0.0,0
32.0,1,14,1,116.13586293337688,21
40.0,0,7,0,0.0,0
37.0,0,12,0,0.0,0
35.0,0,7,0,0.0,0
46.0,1,4,0,0.0,0
43.0,0,10,0,0.0,0
32.0,0,4,0,0.0,0
31.0,1,10,0,0.0,0
34.0,1,15,1,103.07952622669049,20
41.0,0,13,0,0.0,0
35.0,0,6,0,0.0,0
35.0,1,8,1,63.36438506696209,14
32.0,1,11,0,0.0,0
38.0,0,6,0,0.0,0
36.0,0,5,0,0.0,0
28.0,0,4,0,0.0,0
44.0,1,9,0,0.0,0
29.0,0,6,0,0.0,0
42.0,1,8,0,0.0,0
32.0,0,7,0,0.0,0
35.0,1,11,1,85.8471840046934,12
31.0,1,13,0,0.0,0
37.0,1,7,1,113.3842122932606,22
31.0,0,7,0,0.0,0
34.0,0,5,0,0.0,0
34.0,1,14,0,0.0,0
44.0,0,4,0,0.0,0
31.0,1,13,0,0.0,0
38.0,0,6,0,0.0,0
43.0,0,2,0,0.0,0
32.0,0,7,0,0.0,0
35.0,0,11,0,0.0,0
32.0,1,13,0,0.0,0
30.0,0,9,0,0.0,0
31.0,0,7,0,0.0,0
42.0,1,7,0,0.0,0
40.0,1,8,0,0.0,0
31.0,1,10,0,0.0,0
35.0,1,9,0,0.0,0
30.0,1,5,0,0.0,0
21.0,0,6,0,0.0,0
32.0,1,13,1,106.11781412819731,10
32.0,0,5,0,0.0,0
35.0,0,11,0,0.0,0
25.0,1,7,0,0.0,0
37.0,0,10,0,0.0,0
28.0,1,9,0,0.0,0
32.0,0,13,0,0.0,0
27.0,1,10,1,99.58860584599498,23
42.0,0,7,0,0.0,0
40.0,0,8,0,0.0,0
33.0,1,10,0,0.0,0
33.0,1,9,0,0.0,0
41.0,1,6,0,0.0,0
35.0,1,17,0,0.0,0
44.0,1,10,1,89.99055456304686,18
35.0,0,10,0,0.0,0
32.0,0,6,0,0.0,0
29.0,0,6,0,0.0,0
30.0,1,8,0,0.0,0
34.0,1,10,0,0.0,0
42.0,0,7,0,0.0,0
35.0,1,12,0,0.0,0
34.0,1,12,0,0.0,0
35.0,0,15,0,0.0,0
26.0,0,6,0,0.0,0
35.0,1,17,0,0.0,0
35.0,1,7,0,0.0,0
44.0,0,11,0,0.0,0
34.0,0,1,0,0.0,0
38.0,1,10,0,0.0,0
38.0,0,5,0,0.0,0
41.0,1,14,0,0.0,0
32.0,0,5,0,0.0,0
42.0,0,8,0,0.0,0
33.0,0,13,0,0.0,0
29.0,0,8,0,0.0,0
38.0,0,5,0,0.0,0
28.0,1,10,0,0.0,0
37.0,0,10,0,0.0,0
32.0,0,9,0,0.0,0
32.0,1,8,0,0.0,0
29.0,0,6,0,0.0,0
33.0,0,9,0,0.0,0
43.0,0,11,0,0.0,0
30.0,0,6,0,0.0,0
42.0,1,15,0,0.0,0
38.0,0,8,0,0.0,0
33.0,0,12,0,0.0,0
32.0,1,9,0,0.0,0
38.0,0,8,0,0.0,0
28.0,1,8,0,0.0,0
35.0,0,15,0,0.0,0
41.0,1,13,0,0.0,0
32.0,0,5,0,0.0,0
34.0,1,7,0,0.0,0
25.0,0,4,0,0.0,0
39.0,1,4,1,125.22490999437579,28
36.0,0,10,0,0.0,0
29.0,1,9,0,0.0,0
35.0,0,7,0,0.0,0
33.0,1,11,0,0.0,0
45.0,1,10,0,0.0,0
41.0,0,7,0,0.0,0
33.0,1,14,0,0.0,0
34.0,0,5,0,0.0,0
37.0,0,4,0,0.0,0
34.0,1,9,0,0.0,0
38.0,0,4,0,0.0,0
40.0,1,12,0,0.0,0
31.0,0,6,0,0.0,0
31.0,0,12,0,0.0,0
36.0,0,8,0,0.0,0
28.0,0,6,0,0.0,0
43.0,0,8,0,0.0,0
32.0,0,6,0,0.0,0
29.0,0,14,0,0.0,0
30.0,1,7,0,0.0,0
37.0,0,11,0,0.0,0
38.0,1,12,0,0.0,0
31.0,1,14,1,93.96462179793605,16
34.0,0,4,0,0.0,0
30.0,0,9,0,0.0,0
31.0,1,5,0,0.0,0
42.0,1,7,0,0.0,0
28.0,1,14,0,0.0,0
30.0,0,11,0,0.0,0
42.0,0,6,0,0.0,0
35.0,1,8,0,0.0,0
34.0,0,2,0,0.0,0
28.0,0,6,0,0.0,0
45.0,0,13,0,0.0,0
38.0,0,6,0,0.0,0
22.0,0,9,0,0.0,0
31.0,0,7,0,0.0,0
35.0,0,7,0,0.0,0
39.0,1,6,0,0.0,0
35.0,0,8,0,0.0,0
40.0,0,10,0,0.0,0
32.0,0,6,0,0.0,0
36.0,1,8,0,0.0,0
37.0,0,6,0,0.0,0
38.0,0,8,0,0.0,0
27.0,1,12,0,0.0,0
39.0,0,6,0,0.0,0
47.0,1,7,0,0.0,0
22.0,1,10,0,0.0,0
36.0,0,11,0,0.0,0
35.0,0,4,0,0.0,0
42.0,0,6,0,0.0,0
33.0,1,11,0,0.0,0
36.0,0,9,0,0.0,0
38.0,0,9,0,0.0,0
38.0,0,3,0,0.0,0
40.0,1,9,0,0.0,0
29.0,0,4,0,0.0,0
37.0,1,7,0,0.0,0
39.0,0,8,0,0.0,0
40.0,0,7,0,0.0,0
29.0,1,12,0,0.0,0
38.0,1,6,0,0.0,0
39.0,0,5,0,0.0,0
31.0,1,4,0,0.0,0
28.0,0,9,0,0.0,0
34.0,1,10,0,0.0,0
31.0,0,10,0,0.0,0
30.0,0,8,0,0.0,0
38.0,0,3,0,0.0,0
35.0,0,5,0,0.0,0
24.0,0,9,0,0.0,0
39.0,1,11,0,0.0,0
26.0,0,8,0,0.0,0
34.0,0,5,0,0.0,0
26.0,0,7,0,0.0,0
37.0,1,11,0,0.0,0
31.0,0,7,0,0.0,0
32.0,0,8,0,0.0,0
34.0,1,10,1,57.80858232082263,22
30.0,1,9,1,91.93722074145948,20
35.0,0,9,0,0.0,0
24.0,1,10,1,128.3534565544024,22
28.0,1,12,0,0.0,0
34.0,0,7,0,0.0,0
43.0,1,10,0,0.0,0
37.0,1,11,0,0.0,0
34.0,0,7,0,0.0,0
36.0,0,11,0,0.0,0
34.0,1,7,0,0.0,0
36.0,1,13,0,0.0,0
40.0,1,5,0,0.0,0
43.0,0,6,0,0.0,0
30.0,0,7,0,0.0,0
40.0,1,10,0,0.0,0
38.0,1,9,0,0.0,0
40.0,0,3,0,0.0,0
33.0,1,10,1,118.04781288314081,18
41.0,1,11,0,0.0,0
32.0,0,4,0,0.0,0
32.0,0,8,0,0.0,0
33.0,0,11,0,0.0,0
37.0,1,12,0,0.0,0
35.0,1,15,0,0.0,0
42.0,0,9,0,0.0,0
45.0,1,11,0,0.0,0
37.0,0,10,0,0.0,0
32.0,0,6,0,0.0,0
47.0,0,6,0,0.0,0
36.0,0,5,0,0.0,0
37.0,0,12,0,0.0,0
30.0,1,11,0,0.0,0
32.0,1,14,0,0.0,0
39.0,0,6,0,0.0,0
34.0,0,1,0,0.0,0
32.0,0,5,0,0.0,0
35.0,0,6,0,0.0,0
36.0,1,5,0,0.0,0
37.0,0,11,0,0.0,0
36.0,0,6,0,0.0,0
43.0,0,6,0,0.0,0
43.0,0,8,0,0.0,0
30.0,0,5,0,0.0,0
26.0,0,4,0,0.0,0
41.0,1,8,0,0.0,0
34.0,1,8,0,0.0,0
33.0,0,7,0,0.0,0
36.0,1,17,1,67.07111442448264,25
39.0,0,6,0,0.0,0
33.0,0,5,0,0.0,0
28.0,0,4,0,0.0,0
35.0,1,13,0,0.0,0
24.0,0,10,0,0.0,0
35.0,1,9,0,0.0,0
42.0,0,18,0,0.0,0
33.0,1,14,0,0.0,0
29.0,0,8,0,0.0,0
28.0,1,6,1,111.16977855903494,34
37.0,1,7,0,0.0,0
33.0,1,10,0,0.0,0
45.0,0,4,0,0.0,0
46.0,1,8,0,0.0,0
40.0,1,9,1,63.97255921838705,26
43.0,1,11,0,0.0,0
35.0,1,8,0,0.0,0
36.0,1,14,0,0.0,0
36.0,0,6,0,0.0,0
34.0,0,3,0,0.0,0
34.0,1,6,0,0.0,0
40.0,0,10,0,0.0,0
30.0,1,9,0,0.0,0
36.0,0,8,0,0.0,0
35.0,0,7,0,0.0,0
35.0,1,9,0,0.0,0
27.0,0,12,0,0.0,0
32.0,0,10,0,0.0,0
35.0,1,6,0,0.0,0
33.0,1,8,0,0.0,0
35.0,0,9,0,0.0,0
34.0,0,5,0,0.0,0
38.0,0,5,0,0.0,0
37.0,0,5,0,0.0,0
38.0,1,13,0,0.0,0
32.0,0,5,0,0.0,0
34.0,1,7,0,0.0,0
36.0,0,12,0,0.0,0
36.0,0,6,0,0.0,0
43.0,1,13,1,92.20943331609665,17
28.0,1,9,0,0.0,0
